Variable Name,Variable Description
DLQ010,"With this next set of questions, we want to learn about people who have physical, mental, or emotional conditions that cause serious difficulties with their daily activities. Though different, these questions may sound similar to ones I asked earlier. {Are you/Is SP} deaf or {do you/does he/does she} have serious difficulty hearing?"
DLQ020,{Are you/Is SP} blind or {do you/does he/does she} have serious difficulty seeing even when wearing glasses?
DLQ040,"Because of a physical, mental, or emotional condition, {do you/does he/does she} have serious difficulty concentrating, remembering, or making decisions?"
DLQ050,{Do you/Does SP} have serious difficulty walking or climbing stairs?
DLQ060,{Do you/Does SP} have difficulty dressing or bathing?
DLQ080,"Because of a physical, mental, or emotional condition, {do you/does he/does she} have difficulty doing errands alone such as visiting a doctor's office or shopping?"
SEQN,Respondent sequence number.
DED031,"If after several months of not being in the sun, {you/SP} then went out in the sun without sunscreen or protective clothing for a half hour, which one of these would happen to {your/his/her} skin?"
DED120,"The next questions ask about the time you spent outdoors during the past 30 days. By outdoors, I mean outside and not under any shade. How much time did you usually spend outdoors between 9 in the morning and 5 in the afternoon 
on the days that you worked or went to school?"
DED125,"During the past 30 days, how much time did you usually spend outdoors between 9 in the morning and 5 in the afternoon on the days when you were not working or going to school?"
DEQ034A,"When {you go/SP goes} outside on a very sunny day, for more than one hour, how often {do you/does SP} Stay in the shade?"
DEQ034C,Wear a long sleeved shirt?  Would you say . . .
DEQ034D,Use sunscreen?  Would you say . . .
DEQ038G,How many times in the past year {have you/has SP} had a sunburn?
DEQ038Q,How many times in the past year {have you/has SP} had a sunburn?
SEQN,Respondent sequence number.
OSD030aa,How old {were you/was SP} when {you/s/he} fractured {your/his/her} hip the 1st time?
OSD030ab,How old {were you/was SP} when {you/s/he} fractured {your/his/her} hip the 2nd time?
OSD030ac,How old {were you/was SP} when {you/s/he} fractured {your/his/her} hip the 3rd time?
OSD030ba,How old {were you/was SP} when {you/s/he} fractured {your/his/her} wrist the 1st time?
OSD030bb,How old {were you/was SP} when {you/s/he} fractured {your/his/her} wrist 2nd time?
OSD030bc,How old {were you/was SP} when {you/s/he} fractured {your/his/her} wrist the 3rd time?
OSD030bd,How old {were you/was SP} when {you/s/he} fractured {your/his/her} wrist the 4th time?
OSD030be,How old {were you/was SP} when {you/s/he} fractured {your/his/her} wrist the 5th time?
OSD030bf,How old {were you/was SP} when {you/s/he} fractured {your/his/her} wrist the 6th time?
OSD030bg,How old {were you/was SP} when {you/s/he} fractured {your/his/her} wrist the 7th time?
OSD030bh,How old {were you/was SP} when {you/s/he} fractured {your/his/her} {hip/wrist/spine} {the {1st/2nd/10th or more recent time . . .} time}?
OSD030bi,How old {were you/was SP} when {you/s/he} fractured {your/his/her} {hip/wrist/spine} {the {1st/2nd/10th or more recent time . . .} time}?
OSD030bj,How old {were you/was SP} when {you/s/he} fractured {your/his/her} {hip/wrist/spine} {the {1st/2nd/10th or more recent time . . .} time}?
OSD030ca,How old {were you/was SP} when {you/s/he} fractured {your/his/her} spine the 1st time?
OSD030cb,How old {were you/was SP} when {you/s/he} fractured {your/his/her} spine the 2nd time?
OSD030cc,How old {were you/was SP} when {you/s/he} fractured {your/his/her} spine the 3rd time?
OSD050aa,Did that fracture occur as a result of . . .
OSD050ab,Did that fracture occur as a result of . . .
OSD050ac,Did that fracture occur as a result of . . .
OSD050ba,Did that fracture occur as a result of. . .
OSD050bb,Did that fracture occur as a result of . . .
OSD050bc,Did that fracture occur as a result of . . .
OSD050bd,Did that fracture occur as a result of.....
OSD050ca,Did that fracture occur as a result of . . .
OSD050cb,Did that fracture occur as a result of . . .
OSD110a,How old {were you/was SP} when {you/SP} fractured {your/his/her} (fracture site selected in OSQ100a) for the first time after age 20?
OSD110b,How old {were you/was SP} when {you/SP} fractured {your/his/her} (fracture site selected in OSQ100b) for the first time after age 20?
OSD110c,How old {were you/was SP} when {you/SP} fractured {your/his/her} (fracture site selected in OSQ100c) for the first time after age 20?
OSD110d,How old {were you/was SP} when {you/SP} fractured {your/his/her} (fracture site selected in OSQ100d) for the first time after age 20?
OSD110e,How old {were you/was SP} when {you/SP} fractured {your/his/her} (fracture site selected in OSQ100e) for the first time after age 20?
OSD110g,How old {were you/was SP} when {you/SP} fractured {your/his/her} (fracture site selected in OSQ100d) for the first time after age 20?
OSQ010a,Has a doctor ever told {you/SP} that {you/s/he} had broken or fractured {your/his/her} . . .hip?
OSQ010b,Has a doctor ever told {you/SP} that {you/s/he} had broken or fractured {your/his/her} . . .wrist?
OSQ010c,Has a doctor ever told {you/SP} that {you/s/he} had broken or fractured {your/his/her} . . .spine?
OSQ020a,How many times {have you/has SP} broken or fractured {your/his/her} hip?
OSQ020b,How many times {have you/has SP} broken or fractured {your/his/her} wrist?
OSQ020c,How many times {have you/has SP} broken or fractured {your/his/her} spine?
OSQ040aa,{Were you/Was SP} . . .
OSQ040ab,{Were you/Was SP} . . .
OSQ040ac,{Were you/Was SP} . . .
OSQ040ba,{Were you/Was SP} . . .
OSQ040bb,{Were you/Was SP} . . .
OSQ040bc,{Were you/Was SP} . . .
OSQ040bd,{Were you/Was SP} . . .
OSQ040be,{Were you/Was SP} . . .
OSQ040bf,{Were you/Was SP} . . .
OSQ040bg,{Were you/Was SP} . . .
OSQ040bh,{Were you/Was SP} . . .
OSQ040bi,{Were you/Was SP} . . .
OSQ040bj,{Were you/Was SP} . . .
OSQ040ca,{Were you/Was SP} . . .
OSQ040cb,{Were you/Was SP} . . .
OSQ040cc,{Were you/Was SP} . . .
OSQ060,"Has a doctor ever told {you/SP} that {you/s/he} had osteoporosis, sometimes called thin or brittle bones?"
OSQ072,Please look at the drugs on this card that are prescribed for osteoporosis. {Have you/Has SP} ever been told by a doctor or other health care professional to take a prescribed medicine for osteoporosis?
OSQ080,Has a doctor ever told {you/SP} that {you/s/he} had broken or fractured any other bone after {you were/s/he was} 20 years of age?
OSQ090a,"Was this fracture the result of severe trauma such as a car accident, being struck by a vehicle, a physical attack, or a hard fall such as falling off a ladder or down stairs?"
